DRC;51;;3;;2;46;;0.6
Mayotte;50;+14;;;;50;;183
Rwanda;50;;;;;50;;4
Bangladesh;48;+4;5;;11;32;1;0.3
Gibraltar;35;;;;13;22;;1039
Macao;33;;;;10;23;;51
Monaco;33;;;;1;32;;841
Kenya;31;;1;;1;29;;0.6
French Polynesia;30;;;;;30;;107
Isle of Man;29;+3;;;;29;;341
Aruba;28;;;;1;27;;262
French Guiana;28;;;;6;22;;94
Jamaica;26;;1;;2;23;;9
Guatemala;25;;1;;4;20;;1
Togo;25;+1;;;1;24;;3
Barbados;24;;;;;24;;84
Madagascar;24;+1;;;;24;;0.9
Uganda;18;+4;;;;18;;0.4
Ethiopia;16;+4;;;;16;;0.1
Zambia;16;;;;;16;;0.9
Bermuda;15;;;;2;13;;241
New Caledonia;15;+1;;;;15;;53
Maldives;14;+1;;;9;5;;26
El Salvador;13;;;;;13;;2
Tanzania;13;;;;;13;;0.2
Equatorial Guinea;12;;;;;12;;9
Djibouti;11;;;;;11;;11
Dominica;11;;;;;11;;153
Mongolia;11;;;;;11;;3
Saint Martin;11;;;;;11;;284
Niger;10;;1;;;9;;0.4
Bahamas;9;;;;1;8;;23
Greenland;9;+3;;;2;7;;159
Cayman Islands;8;;1;;;7;;122
Guinea;8;+4;;;;8;;0.6
Haiti;8;;;;;8;;0.7
Namibia;8;;;;2;6;;3
Suriname;8;;;;;8;;14
Curaçao;7;;1;;2;4;;43
Gabon;7;;1;;;6;;3
Antigua and Barbuda;7;;;;;7;;71
Grenada;7;;;;;7;;62
Mozambique;7;;;;;7;;0.2
Seychelles;7;;;;;7;;71
Benin;6;;;;;6;;0.5
Eritrea;6;;;;;6;;2
Laos;6;;;;;6;;0.8
Eswatini;6;;;;;6;;5
Cabo Verde;5;;1;;;4;;9
Guyana;5;;1;;;4;;6
Zimbabwe;5;+2;1;;;4;;0.3
Fiji;5;;;;;5;;6
Montserrat;5;;;;;5;;1002
Myanmar;5;;;;;5;;0.09
Syria;5;;;;;5;;0.3
Angola;4;;;;;4;;0.1
Congo;4;;;;;4;;0.7
Vatican City;4;;;;;4;;4994
Mali;4;;;;;4;;0.2
Gambia;3;;1;;;2;;1
Sudan;3;;1;;;2;;0.07
Nepal;3;;;;1;2;;0.1
Bhutan;3;+1;;;;3;;4
CAR;3;;;;;3;;0.6
Chad;3;;;;;3;;0.2
Liberia;3;;;;;3;;0.6
Mauritania;3;;;;;3;;0.6
St. Barth;3;;;;;3;;304
Saint Lucia;3;;;;1;2;;16
Sint Maarten;3;;;;;3;;70
Somalia;3;+1;;;;3;;0.2
Nicaragua;2;;1;+1;;1;;0.3
Anguilla;2;;;;;2;;133
Belize;2;;;;;2;;5
British Virgin Islands;2;;;;;2;;66
Guinea-Bissau;2;;;;;2;;1
Saint Kitts and Nevis;2;;;;;2;;38
Turks and Caicos;2;;;;;2;;52
Libya;1;;;;;1;;0.1
Papua New Guinea;1;;;;;1;;0.1
St. Vincent Grenadines;1;;;;;1;;9
Timor-Leste;1;;;;;1;;0.8
